node_id,kind,local_id,name,lon,lat
STN_0494,Multimodal station,494,Ulm Hbf,9.982867,48.39895
STN_0496,Multimodal station,496,Friedrichshafen Stadtbahnhof,9.473677,47.65315
STN_0504,Multimodal station,504,Milano Centrale,9.204593,45.4869
STN_0520,Multimodal station,520,Lausanne,6.629417,46.5168
STN_0536,Multimodal station,536,Schaffhausen,8.632631,47.698185
STN_0552,Multimodal station,552,St. Gallen,9.368929,47.42308
STN_0555,Multimodal station,555,Bern,7.437481,46.948566
STN_0574,Multimodal station,574,Nancy,6.1745143,48.68985
STN_0575,Multimodal station,575,Lorraine TGV,6.1698065,48.947655
STN_0576,Multimodal station,576,Reims,4.023963,49.259537
STN_0577,Multimodal station,577,Mulhouse,7.343119,47.74254
STN_0578,Multimodal station,578,Metz,6.1772003,49.109444
STN_0580,Multimodal station,580,Strasbourg,7.7341285,48.58517
STN_0582,Multimodal station,582,Paris Austerlitz,2.3656006,48.84199
STN_0584,Rail station,584,Saint-Pierre-des-Corps,0.7236027,47.386032
STN_0585,Multimodal station,585,Paris Gare de Lyon Hall 1 - 2,2.3735886,48.84492
STN_0587,Multimodal station,587,Lyon Part Dieu,4.860485,45.760612
STN_0589,Multimodal station,589,Besançon Viotte,6.0219593,47.247128
STN_0593,Multimodal station,593,Clermont-Ferrand,3.1006384,45.778893
STN_0597,Multimodal station,597,Nice-Ville,7.2618823,43.704597
STN_0598,Multimodal station,598,Valence TGV Rhône-Alpes Sud,4.978796,44.99182
STN_0599,Multimodal station,599,Avignon Centre,4.8058395,43.94184
STN_0600,Rail station,600,Montpellier Saint-Roch,3.8806984,43.6047
STN_0601,Multimodal station,601,Nîmes Centre,4.3660183,43.8323
STN_0602,Multimodal station,602,Perpignan,2.8794186,42.69597
STN_0603,Multimodal station,603,Luxembourg,6.1341314,49.599487
STN_0605,Multimodal station,605,Breda,4.779727,51.59574
STN_0606,Multimodal station,606,Lille Flandres (FR),3.066667,50.63333
STN_0616,Multimodal station,616,Louvain,4.7153625,50.882305
STN_0618,Multimodal station,618,Liège-Guillemins,5.5667357,50.624477
STN_0628,Multimodal station,628,Namur,4.8621764,50.46887
STN_0630,Multimodal station,630,Marchienne-au-Pont,4.39422,50.41217
STN_0632,Multimodal station,632,Charleroi-Central,4.4381933,50.404842
STN_0636,Multimodal station,636,Mons,3.9426713,50.454025
STN_0646,Multimodal station,646,Gand-Saint-Pierre,3.710562,51.036037
STN_0654,Multimodal station,654,Kehl,7.8068156,48.576263
STN_0655,Multimodal station,655,"Trier, Hauptbahnhof",6.6513186,49.75753
STN_0656,Multimodal station,656,Saarbrücken Hbf,6.9907613,49.241135
STN_0658,Rail station,658,Turin Porta Susa,7.666374,45.07366
STN_0659,Multimodal station,659,Milano Porta Garibaldi,9.187533,45.484684
STN_0661,Multimodal station,661,Amiens,2.308277,49.890583
STN_0662,Multimodal station,662,Avignon TGV,4.7859216,43.922077
STN_0664,Multimodal station,664,Valenciennes,3.517124,50.363186
STN_0665,Multimodal station,665,Douai,3.0897534,50.37187
STN_0666,Multimodal station,666,Lens,2.828301,50.426865
STN_0668,Multimodal station,668,Paris Montparnasse Hall 1 - 2,2.3204494,48.841125
STN_0669,Multimodal station,669,Le Mans,0.192614,47.995613
STN_0670,Multimodal station,670,Rouen Rive Droite,1.0941035,49.44868
STN_0674,Multimodal station,674,Saint-Brieuc,-2.765128,48.50757
STN_0675,Multimodal station,675,Gare de Saint-Nazaire,-2.2114067,47.286057
STN_0679,Multimodal station,679,Orléans,1.9042403,47.90795
STN_0680,Multimodal station,680,Les Aubrais,1.9068377,47.926765
STN_0681,Multimodal station,681,Poitiers,0.33389273,46.58303
STN_0682,Multimodal station,682,Angoulême,0.16484562,45.653538
STN_0683,Multimodal station,683,Limoges Bénédictins,1.26771,45.836006
STN_0685,Multimodal station,685,Pau,-0.369675,43.29171
STN_0686,Multimodal station,686,Bayonne,-1.470368,43.49679
STN_0688,Rail station,688,LUNEL - Gare Multimodale,4.1292877,43.67911
STN_0691,Rail station,691,Split,16.455835,43.5227
STN_0692,Rail station,692,Αθήνα,23.72084,37.99261
STN_0693,Multimodal station,693,Roma Termini,12.501901,41.900635
STN_0695,Rail station,695,Torino Porta Nuova,7.677713,45.061
STN_0696,Multimodal station,696,Villa San Giovanni,15.634555,38.216656
STN_0697,Multimodal station,697,Firenze Stazione S.M.N.,11.248061,43.776405
STN_0698,Multimodal station,698,Firenze C.M.,11.276779,43.77715
STN_0701,Multimodal station,701,Bari Centrale,16.870173,41.117702
STN_0702,Multimodal station,702,Parma,10.328577,44.81024
STN_0703,Multimodal station,703,Taranto,17.224312,40.483486
STN_0704,Multimodal station,704,Cosenza,16.260506,39.318977
STN_0707,Multimodal station,707,Genova Brignole,8.947197,44.406998
STN_0709,Rail station,709,Trento,11.118901,46.07229
STN_0710,Multimodal station,710,Perugia,12.37562,43.103832
STN_0720,Multimodal station,720,Messina Centrale,15.561792,38.18454
STN_0723,Bus station,723,Cagliari,9.108012,39.216267
STN_0726,Rail station,726,Prato C.Le,11.108941,43.878727
STN_0729,Rail station,729,Trepuzzi,18.076624,40.40992
STN_0740,Multimodal station,740,Birmingham New Street Rail Station,-1.90021,52.47782
STN_0743,Multimodal station,743,Blackpool North Rail Station,-3.04927,53.82191
